,population_density,rucc,longitude,latitude,elevation,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,physiographic_region_provcode,physiographic_region_fencode,cell_tower_distance
271,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191161046,2.0,-127,-16,-93,22.0,22a,
273,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191162048,2.0,-127,-16,-93,22.0,22a,
275,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191163047,2.0,-127,-17,-91,22.0,22a,
277,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191164047,2.0,-127,-17,-91,22.0,22a,
279,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191165048,2.0,-125,-16,-101,22.0,22a,
280,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191165048,2.0,-126,-16,-89,22.0,22a,
283,0.77,3.0,-113.6711973064004,36.97945214553171,840.93994140625,789.105329830381,1724191166049,2.0,-125,-16,-101,22.0,22a,
284,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191166049,2.0,-126,-16,-89,22.0,22a,
285,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191166049,2.0,-125,-16,-101,22.0,22a,
287,0.77,3.0,-113.67030272,36.97952486363637,842.7913818359375,791.0385529766825,1724191167051,3.0,-125,-15,-101,22.0,22a,
288,0.77,3.0,-113.67030272,36.97952486363637,842.7913818359375,791.0385529766825,1724191167051,3.0,-127,-17,-89,22.0,22a,
291,0.77,3.0,-113.66849453,36.97967184569378,846.004638671875,794.9460959030563,1724191168050,3.0,-125,-15,-101,22.0,22a,
293,0.77,3.0,-113.66849453,36.97967184569378,846.004638671875,794.9460959030563,1724191168050,3.0,-127,-17,-89,22.0,22a,
295,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191169052,3.0,-128,-19,-89,22.0,22a,
296,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191169052,3.0,-121,-13,-97,22.0,22a,
299,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191170052,3.0,-128,-19,-89,22.0,22a,
300,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191170052,3.0,-121,-13,-97,22.0,22a,
303,0.77,3.0,-113.6680591704885,36.97967486818417,846.2357788085938,795.7485267695284,1724191171057,3.0,-120,-12,-99,22.0,22a,
304,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191171057,3.0,-127,-18,-91,22.0,22a,
305,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191171057,3.0,-120,-12,-99,22.0,22a,
307,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191172057,3.0,-127,-18,-91,22.0,22a,
309,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191172057,3.0,-120,-12,-99,22.0,22a,
311,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191173057,3.0,-116,-13,-93,22.0,22a,
312,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191173057,3.0,-126,-17,-91,22.0,22a,
315,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191174057,3.0,-116,-13,-93,22.0,22a,
316,0.77,3.0,-113.6683081,36.979687,846.044921875,795.348975704274,1724191174057,3.0,-126,-17,-91,22.0,22a,
