index,population_density,rucc,longitude,latitude,elevation,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,physiographic_region_provcode,physiographic_region_fencode,cell_tower_distance,distance_to_next_point_meters,cum_distance
41304,267.92,1,-96.2952085,32.9794892,168.600189208984,139.019306349787,1724422969015,4,-90,-14,-57,3,3f,NaN,0.00917013772185655,63.3931424359212
41305,267.92,1,-96.2952085983102,32.9794892,168.600234985352,139.019306349787,1724422970017,4,-90,-14,-57,3,3f,NaN,0.000157620327129183,63.3933000562483
41306,267.92,1,-96.2952086,32.9794892,168.600234985352,139.019306349787,1724422971018,4,-90,-13,-59,3,3f,NaN,0,63.3933000562483
41307,267.92,1,-96.2952086,32.9794892,168.600234985352,139.019306349787,1724422972026,4,-90,-13,-59,3,3f,NaN,0,63.3933000562483
41308,267.92,1,-96.2952086,32.9794892,168.600234985352,139.019306349787,1724422973025,3,-89,-12,-57,3,3f,NaN,0,63.3933000562483
41309,267.92,1,-96.2952086,32.9794892,168.600234985352,139.019306349787,1724422974027,3,-89,-12,-57,3,3f,NaN,0.0294162270901826,63.4227162833385
41310,267.92,1,-96.2952084582182,32.979489436303,168.60009765625,139.070369572475,1724422975030,4,-89,-13,-55,3,3f,NaN,0.0297127616298094,63.4524290449683
41311,267.92,1,-96.2952083150072,32.9794896749881,168.599945068359,139.121947545392,1724422976032,4,-89,-13,-55,3,3f,NaN,0.00311361416581729,63.4555426591342
41312,267.92,1,-96.2952083,32.9794897,168.59992980957,139.127352422794,1724422977032,3,-89,-13,-61,3,3f,NaN,0,63.4555426591342
41313,267.92,1,-96.2952083,32.9794897,168.59992980957,139.127352422794,1724422978034,3,-89,-13,-61,3,3f,NaN,0,63.4555426591342
41314,267.92,1,-96.2952083,32.9794897,168.59992980957,139.127352422794,1724422979037,3,-90,-14,-57,3,3f,NaN,0.0109749391802792,63.4665175983144
41315,267.92,1,-96.2952083,32.9794897987,168.599899291992,139.127352422794,1724422980035,3,-90,-14,-57,3,3f,NaN,0.000144553614120197,63.4666621519286
41316,267.92,1,-96.2952083,32.9794898,168.599899291992,139.127352422794,1724422981048,3,-89,-13,-57,3,3f,NaN,0,63.4666621519286
41317,267.92,1,-96.2952083,32.9794898,168.599899291992,139.127352422794,1724422982053,3,-89,-13,-57,3,3f,NaN,0,63.4666621519286
41318,267.92,1,-96.2952083,32.9794898,168.599899291992,139.127352422794,1724422983052,3,-90,-14,-57,3,3f,NaN,0,63.4666621519286
41319,267.92,1,-96.2952083,32.9794898,168.599899291992,139.127352422794,1724422984050,3,-90,-14,-57,3,3f,NaN,0.00479615487815851,63.4714583068067
41320,267.92,1,-96.2952082669545,32.9794898330455,168.599868774414,139.072421607991,1724422985057,3,-91,-13,-57,3,3f,NaN,0.00482989999752416,63.4762882068042
41321,267.92,1,-96.2952082336765,32.9794898663235,168.599853515625,139.017104345244,1724422986059,3,-91,-13,-57,3,3f,NaN,0.00482989403340561,63.4811181008376
41322,267.92,1,-96.2952082003986,32.9794898996015,168.599822998047,138.961787082498,1724422987061,4,-89,-12,-57,3,3f,NaN,5.78435445124231e-05,63.4811759443822
41323,267.92,1,-96.2952082,32.9794899,168.599822998047,138.961124600309,1724422988061,4,-89,-12,-57,3,3f,NaN,0,63.4811759443822
41324,267.92,1,-96.2952082,32.9794899,168.599822998047,138.961124600309,1724422989066,4,-90,-12,-59,3,3f,NaN,0,63.4811759443822
41325,267.92,1,-96.2952082,32.9794899,168.599822998047,138.961124600309,1724422990066,4,-90,-12,-59,3,3f,NaN,0,63.4811759443822
41326,267.92,1,-96.2952082,32.9794899,168.599822998047,138.961124600309,1724422991066,4,-92,-14,-59,3,3f,NaN,0,63.4811759443822
41327,267.92,1,-96.2952082,32.9794899,168.599822998047,138.961124600309,1724422992069,4,-92,-14,-59,3,3f,NaN,0,63.4811759443822
41328,267.92,1,-96.2952082,32.9794899,168.599822998047,138.961124600309,1724422993071,4,-92,-12,-63,3,3f,NaN,0,63.4811759443822
41329,267.92,1,-96.2952082,32.9794899,168.599822998047,138.961124600309,1724422994076,4,-92,-12,-63,3,3f,NaN,0.0372433103112044,63.5184192546934
41330,267.92,1,-96.2952079167382,32.9794901360515,168.599624633789,139.048383828974,1724422995080,3,-90,-11,-59,3,3f,NaN,0.0375818830862112,63.5560011377796
41331,267.92,1,-96.2952076309013,32.9794903742489,168.599426269531,139.136436323354,1724422996079,3,-90,-11,-59,3,3f,NaN,0.00406291030505638,63.5600640480846
41332,267.92,1,-96.2952076,32.9794904,168.599395751953,139.145955511936,1724422997079,3,-88,-11,-59,3,3f,NaN,0,63.5600640480846
41333,267.92,1,-96.2952076,32.9794904,168.599395751953,139.145955511936,1724422998079,3,-88,-11,-59,3,3f,NaN,0,63.5600640480846
