ci,mcc,mnc,tac,lat,lon,range
203064849,310,410,27651,34.50544,-100.376091,3153.0
203568435,310,410,27651,34.511372,-100.392448,1000.0
203568407,310,410,27651,34.492643,-100.354846,5040.0
203063319,310,410,27651,35.01738,-101.068527,1000.0
203059734,310,410,27651,34.443846,-100.252318,5265.0
203059764,310,410,27651,34.461993,-100.295047,1704.0
203059734,310,410,27651,34.443846,-100.252318,5265.0
203059720,310,410,27651,34.432169,-100.22027,3475.0
203059762,310,410,27651,34.445761,-100.257403,3636.0
116565008,310,410,39177,37.071342,-113.104546,1000.0
116563983,310,410,39177,37.146839,-113.255035,1000.0
116564117,310,410,39177,36.99971,-112.999039,1000.0
116572425,310,410,39177,37.117592,-113.16391,1000.0
116563976,310,410,39177,37.041428,-113.056136,12772.0
116563978,310,410,39177,36.928604,-112.93502,1000.0
116563984,310,410,39177,36.928547,-112.935097,1000.0
116572432,310,410,39177,36.928596,-112.935097,1000.0
124119213,310,410,39177,-1.0,-1.0,-1.0
124119050,310,410,39177,-1.0,-1.0,-1.0
123604395,310,410,33028,37.054085,-112.210028,13205.0
124119057,310,410,39177,-1.0,-1.0,-1.0
124119064,310,410,39177,-1.0,-1.0,-1.0
124119055,310,410,39177,-1.0,-1.0,-1.0
116564233,310,410,39177,-1.0,-1.0,-1.0
116564240,310,410,39177,36.874352,-112.67618,8474.0
116564239,310,410,39177,37.016052,-112.476661,26128.0
116565258,310,410,39177,37.027204,-112.473221,2561.0
116565256,310,410,39177,37.039715,-112.278754,1193.0
116565263,310,410,39177,37.040839,-112.241044,4566.0
116564497,310,410,39177,37.124808,-112.09746,7722.0
203059762,310,410,27651,34.445761,-100.257403,3636.0
203059727,310,410,27651,34.425409,-100.196625,7143.0
203062794,310,410,27651,34.394242,-100.109013,7967.0
203059721,310,410,27651,34.411485,-100.161391,7120.0
203062801,310,410,27651,34.400888,-100.129936,9015.0
203062806,310,410,27651,34.381368,-100.06204,6449.0
203062807,310,410,27651,34.376517,-100.040403,2067.0
203062793,310,410,27651,34.360655,-99.979926,5704.0
134100234,310,410,28171,34.344084,-99.922922,4791.0
134100304,310,410,28171,-1.0,-1.0,-1.0
133203863,310,410,28171,-1.0,-1.0,-1.0
134100233,310,410,28171,34.327547,-99.855682,2139.0
133203862,310,410,28171,-1.0,-1.0,-1.0
133203862,310,410,28171,-1.0,-1.0,-1.0
134100247,310,410,28171,34.314127,-99.823805,1175.0
134723864,310,410,28171,34.301703,-99.796904,5207.0
135389847,310,410,28171,-1.0,-1.0,-1.0
134723850,310,410,28171,34.296718,-99.775665,6992.0
134723849,310,410,28171,34.280286,-99.688899,1000.0
135389846,310,410,28171,-1.0,-1.0,-1.0
133204746,310,410,28171,34.258093,-99.554518,11037.0
134723863,310,410,28171,-1.0,-1.0,-1.0
134723891,310,410,28171,34.281719,-99.699371,1000.0
133204816,310,410,28171,34.254574,-99.533875,1000.0
