"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Census Tract","47037018000","TN","47037018000","=""47037018000""","3007.45","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018101","TN","47037018101","=""47037018101""","3470.70","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018102","TN","47037018102","=""47037018102""","1310.30","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018201","TN","47037018201","=""47037018201""","1309.23","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018203","TN","47037018203","=""47037018203""","1199.85","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018204","TN","47037018204","=""47037018204""","3017.05","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018205","TN","47037018205","=""47037018205""","1189.89","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018302","TN","47037018302","=""47037018302""","150.50","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018303","TN","47037018303","=""47037018303""","215.62","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018304","TN","47037018304","=""47037018304""","349.71","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018404","TN","47037018404","=""47037018404""","723.37","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018405","TN","47037018405","=""47037018405""","1780.36","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018407","TN","47037018407","=""47037018407""","1772.62","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018408","TN","47037018408","=""47037018408""","1394.44","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018409","TN","47037018409","=""47037018409""","3583.24","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018410","TN","47037018410","=""47037018410""","6663.64","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018411","TN","47037018411","=""47037018411""","1925.46","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018412","TN","47037018412","=""47037018412""","3490.56","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018500","TN","47037018500","=""47037018500""","1254.53","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018601","TN","47037018601","=""47037018601""","534.30","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018602","TN","47037018602","=""47037018602""","660.56","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018700","TN","47037018700","=""47037018700""","462.83","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018801","TN","47037018801","=""47037018801""","1516.97","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018803","TN","47037018803","=""47037018803""","2973.63","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018804","TN","47037018804","=""47037018804""","2765.92","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018901","TN","47037018901","=""47037018901""","2414.29","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018902","TN","47037018902","=""47037018902""","2957.66","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018904","TN","47037018904","=""47037018904""","3165.80","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037018905","TN","47037018905","=""47037018905""","5982.49","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037019003","TN","47037019003","=""47037019003""","5406.37","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037019004","TN","47037019004","=""47037019004""","4166.80","2019-2023","2022","Census","Tennessee (State)"
