population_density,rucc,longitude,latitude,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,cell_tower_distance
1.0,7.0,-103.59131752635892,35.17254480334834,1207.7914751952655,1724263131185.0,6.0,-103,-15,-77,
1.0,7.0,-103.59131752635892,35.17254480334834,1207.7914751952655,1724263131185.0,6.0,-97,-15,-65,
1.0,7.0,-103.59092175975334,35.172550795726345,1207.5400396735884,1724263132187.0,6.0,-109,-13,-77,
1.0,7.0,-103.59092175975334,35.172550795726345,1207.5400396735884,1724263132187.0,6.0,-104,-13,-79,
1.0,7.0,-103.59092175975334,35.172550795726345,1207.5400396735884,1724263132187.0,6.0,-110,-13,-85,
1.0,7.0,-103.59052440504024,35.1725568121502,1207.2875952071456,1724263133191.0,6.0,-109,-13,-77,
1.0,7.0,-103.59052440504024,35.1725568121502,1207.2875952071456,1724263133191.0,6.0,-104,-13,-79,
1.0,7.0,-103.59052440504024,35.1725568121502,1207.2875952071456,1724263133191.0,6.0,-110,-13,-85,
1.0,7.0,-103.59012832124512,35.172562809330834,1207.0359581709413,1724263134194.0,7.0,-109,-12,-77,
1.0,7.0,-103.59012832124512,35.172562809330834,1207.0359581709413,1724263134194.0,7.0,-104,-11,-83,
1.0,7.0,-103.59012832124512,35.172562809330834,1207.0359581709413,1724263134194.0,7.0,-109,-11,-85,
1.0,7.0,-103.58973245133188,35.172568803273045,1206.7844570165985,1724263135196.0,7.0,-109,-12,-77,
1.0,7.0,-103.58973245133188,35.172568803273045,1206.7844570165985,1724263135196.0,7.0,-104,-11,-83,
1.0,7.0,-103.58973245133188,35.172568803273045,1206.7844570165985,1724263135196.0,7.0,-109,-11,-85,
1.0,7.0,-103.5893369673149,35.17257479137233,1206.533201027027,1724263136196.0,7.0,-109,-11,-79,
1.0,7.0,-103.5893369673149,35.17257479137233,1206.533201027027,1724263136196.0,7.0,-102,-12,-77,
1.0,7.0,-103.5893369673149,35.17257479137233,1206.533201027027,1724263136196.0,7.0,-106,-13,-87,
1.0,7.0,-103.58893471059784,35.17258088201836,1206.2776422555671,1724263137214.0,7.0,-109,-11,-79,
1.0,7.0,-103.58893471059784,35.17258088201836,1206.2776422555671,1724263137214.0,7.0,-102,-12,-77,
1.0,7.0,-103.58893471059784,35.17258088201836,1206.2776422555671,1724263137214.0,7.0,-106,-13,-87,
1.0,7.0,-103.58853866150642,35.172586878673535,1206.0260272670637,1724263138215.0,6.0,-109,-12,-77,
1.0,7.0,-103.58853866150642,35.172586878673535,1206.0260272670637,1724263138215.0,6.0,-103,-14,-75,
1.0,7.0,-103.58853866150642,35.172586878673535,1206.0260272670637,1724263138215.0,6.0,-106,-14,-85,
