"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","chu","TimeFrame","GeoVintage","Source","Location"
"Census Tract","35055940000","NM","35055940000","=""35055940000""","971","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35055940101","NM","35055940101","=""35055940101""","2331","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35055940102","NM","35055940102","=""35055940102""","2486","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35055952101","NM","35055952101","=""35055952101""","2516","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35055952102","NM","35055952102","=""35055952102""","2936","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35055952300","NM","35055952300","=""35055952300""","2156","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35055952601","NM","35055952601","=""35055952601""","1667","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35055952602","NM","35055952602","=""35055952602""","2344","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35055952701","NM","35055952701","=""35055952701""","1897","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35055952702","NM","35055952702","=""35055952702""","1787","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35057963201","NM","35057963201","=""35057963201""","1951","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35057963202","NM","35057963202","=""35057963202""","1450","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35057963601","NM","35057963601","=""35057963601""","2704","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35057963700","NM","35057963700","=""35057963700""","1133","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35057980000","NM","35057980000","=""35057980000""","0","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35059950200","NM","35059950200","=""35059950200""","2091","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061940300","NM","35061940300","=""35061940300""","510","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061941400","NM","35061941400","=""35061941400""","1186","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970101","NM","35061970101","=""35061970101""","1610","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970103","NM","35061970103","=""35061970103""","1184","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970104","NM","35061970104","=""35061970104""","1481","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970200","NM","35061970200","=""35061970200""","1714","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970302","NM","35061970302","=""35061970302""","971","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970304","NM","35061970304","=""35061970304""","1260","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970305","NM","35061970305","=""35061970305""","1121","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970306","NM","35061970306","=""35061970306""","1234","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970307","NM","35061970307","=""35061970307""","1168","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970401","NM","35061970401","=""35061970401""","2378","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970404","NM","35061970404","=""35061970404""","2423","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35061970405","NM","35061970405","=""35061970405""","1615","2019-2023","2022","Census","New Mexico (State)"
